   2332   -4311    6222     2261    2953    -551      302    -736      19
   2345   -4318    6146     1861    2773   -2327       73    -353       7
   2415   -4323    6234     1352    2612   -2194      357     253    -380
   2430   -4283    6333     2336    1762    -963      153    -336    -871
   2470   -4270    6266     2220    3193   -1303      218   -1321    -723
   2560   -4278    6285     1633    3263   -2371      603   -1104    -741
   2613   -4270    6283     1346    4602   -1907      722    -992    -591
   2689   -4221    6275     1473    3931   -3558      -19    -451     505
   2656   -4220    6222     1999    3512   -2025      127    -560     577
   2650   -4210    6254     1989    3060   -1604      360   -1119     347
   2642   -4224    6198     1185    3620   -4138     -155     420     718
   2561   -4265    6218     1249    2551   -4026       94    1596     652
   2467   -4312    6207     1077      70    -930      782     876    -452
   2444   -4269    6347     2369    4976    -851      145     216    -142
   2450   -4212    6352     2602    3639     -88      393   -1210      87
   2466   -4223    6282     1786    2868   -1912      -81    -665     411
   2475   -4209    6341     1839    2187   -2683      292    -522     133
   2496   -4183    6249     1408    2587   -3294     -712      14     386
   2478   -4207    6275     2010    2688   -1320      166    -478     128
   2490   -4204    6332     1912    2802   -2526      289     -46    -258
   2486   -4194    6300     2091    2333   -3378      -81     656    -123
   2458   -4203    6360     2115    2850   -1670      162     157    -116
   2462   -4206    6294     2794    2764   -2960     -221      51     169
   2452   -4201    6307     1636    3043   -2341      199     300       0
   2400   -4185    6276     1919    3128   -2485      657     548    -137
   2403   -4142    6350     2432    3082   -2123      860     933    -104
   2348   -4162    6342     2415    3136   -2495      781     768      49
   2301   -4119    6501     2206    2429   -2738      140     791     -87
   2248   -4123    6528     2163    2368   -1905      996     782    -620
   2255   -4074    6486     1724    2492   -2032      557     632    -447
   2242   -4035    6545     2666    2989   -2489      597     761     -62
   2156   -4015    6626     2516    2119   -3743      -56    1633       5
   2121   -4023    6614     1834    2697   -2085      761    1387    -295
   2058   -3944    6692     2426    2569   -2299      795    1250    -321
   2018   -3953    6705     2712    2456   -2115      -33    1136    -317
   1944   -3951    6729     2620    2514   -1611      651     887    -370
   1921   -3919    6726     2394    2691   -2783      415    1348    -104
   1849   -3905    6740     2828    2673   -1673     1065    1660    -265
   1794   -3824    6828     3100    2803   -1042     1204     856    -263
   1766   -3746    6867     2461    2899   -1160     1215     645    -171
   1695   -3721    6885     2651    2277   -2738      128     770    -266
   1640   -3728    6924     2691    2559   -1458      824     885    -352
   1597   -3643    6920     2658    2405   -1535     1438     840    -363
   1574   -3569    6983     3452    2158   -2542      905     522    -399
   1537   -3547    7025     2621    2629   -1712     1046     424    -171
   1496   -3441    7079     2709    2298   -2150     1646     399    -190
   1505   -3342    7106     3183    2277   -2251     1748     640    -191
   1454   -3234    7089     3531    2036   -1326     2086     -19      20
   1443   -3073    7215     2910    2159   -1720     1641     452     125
   1360   -3017    7285     3147    1616   -2940      499     893      22
   1355   -2992    7221     3139    1885   -1582      182     286     -53
   1317   -2965    7205     2653    2138   -2571     1885    1513      77
   1209   -2871    7266     2974    1861   -2501     1131    1753     311
   1056   -2799    7141     3053    1639   -2172      267    1671     378
    945   -2797    7214     3614    1266   -1368     -193    1105     106
    924   -2817    7149     3847    1254    -986     -970     254     -17
    881   -2839    7112     3617    1093   -1517     -582     641     -59
    813   -2911    7055     2935    2386   -1722     -456    1820     309
    680   -2917    7109     3601    1747    -681     -214    1102     200
    632   -2917    6951     4360    1190    -352     -377     -41    -197
    646   -2946    7020     3495    1515   -1426     -328      -1    -333
    649   -3055    6930     3311    1762   -1373     -480     432    -214
    608   -3030    6930     2720    2208   -1118     -101    1055     145
    564   -3024    6980     3337    2201    -565      517     942     512
    504   -2952    6966     3959    1720     136      887     113     363
    450   -2892    6928     3661     877   -1144      767     127     -55
    478   -2830    6967     3681    1591    -820      959     305      69
    442   -2773    6913     3504    2364    -784     1025     650     726
    381   -2691    6834     3885    1857    -301      996     177     894
    351   -2602    6949     4040    1655    -465      802    -539     677
    394   -2547    6905     3674    1840   -1224       63    -574     711
    399   -2509    7002     3750    1019   -1548     -673    -588     408
    435   -2606    6884     3545   -1040     240    -3172    -818     118
    514   -2747    6968     3335     -80    -892    -3231    -459       2
    561   -2800    6964     3760    2918   -1960     1152    -446     430
    563   -2764    7022     4632    -779   -2472     -905    -789     -46
    626   -2829    7056     4379    1426     -16    -1882   -2224     -86
    744   -2975    7000     4043    1458   -2251    -2049   -1846    -174
    842   -3136    6947     2715    2643   -1089     -424   -1221      11
    896   -3111    6992     2702    2335   -1287      266   -1041     682
    967   -3109    7059     3696    1519   -1398      229   -1288     389
   1049   -3104    7063     3641    1103   -1639     -327    -931      36
   1086   -3066    7076     3630    1081   -1310     -940   -1220      73
   1166   -3177    7023     2874    1875   -1266     -151   -1883     446
   1260   -3140    7130     2345    1581   -1462     1099   -1532     659
   1356   -3057    7141     2954     796   -2115      234    -496     253
   1320   -3055    7162     2772    1466   -2016     -173    -432     179
   1357   -3031    7221     2855    1815   -1474     1154    -966     464
   1443   -2937    7250     2593    1466   -1961     2501   -1104     736
   1424   -2809    7266     3159     630   -2887     2271    -933     591
   1491   -2599    7344     3403     709   -2287     2119    -894     745
   1532   -2417    7295     2917      56   -3239     2504    -579     978
   1514   -2278    7391     3291    -397   -3403     1257    -501     791
